amount_usd,payout_method,destination_region,is_batch_payout,account_age_days,prior_successful_payouts,historical_failure_rate,days_since_last_payout,top_rated_status,mop_age_days,mop_verified,recent_bank_change_flag,bank_account_valid,bank_detail_age_days,name_match_score,name_has_special_chars,outcome
216.97,wise,LATAM,1,1799,19,0.136,328,1,1426,0,1,1,1525,0.916,0,FAIL_MOP
607.72,ach,SEA,1,2032,29,0.042,19,1,434,1,0,0,1836,0.886,0,FAIL_BANK_VALIDATION
451.09,dlb_bank,MENA,1,2308,40,0.023,138,1,1173,1,0,1,2117,0.89,0,SUCCESS
183.11,dlb_bank,SSA,0,1181,11,0.097,93,0,342,1,0,1,1254,0.952,0,SUCCESS
499.6,dlb_bank,LATAM,0,713,13,0.103,32,0,524,1,0,1,2199,0.739,1,SUCCESS
771.32,dlb_bank,SEA,0,1998,21,0.087,297,1,851,1,0,1,747,0.871,0,SUCCESS
50.51,dlb_bank,EU,1,1221,11,0.188,302,0,95,1,0,1,1598,0.929,0,SUCCESS
230.27,payoneer,SA,0,1649,20,0.15,6,1,953,1,1,1,950,0.863,0,SUCCESS
591.5,thunes_wallet,NAM,0,876,11,0.046,187,0,2,1,0,1,890,0.974,0,FAIL_AMOUNT_LIMIT
348.29,dlb_bank,LATAM,0,121,0,0.118,204,0,950,1,0,1,1712,0.86,0,FAIL_BANK_VALIDATION
530.74,wire,LATAM,0,1512,16,0.157,120,1,817,1,1,1,1680,0.527,1,FAIL_NAME_MISMATCH
274.31,payoneer,SA,1,766,6,0.037,328,0,417,1,0,1,1777,0.913,0,SUCCESS
344.94,thunes_wallet,EU,0,1180,13,0.228,55,0,611,1,0,1,2135,0.877,0,SUCCESS
326.12,wire,SEA,0,1730,12,0.18,233,0,1248,1,0,1,360,0.746,0,SUCCESS
409.89,thunes_wallet,SSA,0,1675,18,0.073,81,1,523,0,0,1,706,0.74,0,SUCCESS
167.82,dlb_bank,MENA,1,2296,30,0.068,128,1,44,1,0,1,2178,0.928,0,SUCCESS
311.18,paypal,SSA,1,2323,34,0.263,184,1,1400,1,0,1,174,0.898,0,SUCCESS
78.74,wire,SA,0,293,4,0.039,160,0,245,0,0,0,1698,0.96,0,FAIL_BANK_VALIDATION
414.04,dlb_bank,EU,0,508,2,0.099,40,0,226,0,0,1,184,0.969,0,FAIL_MOP
195.09,thunes_wallet,EU,1,571,7,0.182,306,0,1379,1,0,1,880,0.491,1,FAIL_NAME_MISMATCH
748.37,dlb_bank,NAM,0,3,0,0.125,329,0,1499,1,0,1,1393,0.948,0,FAIL_AMOUNT_LIMIT
724.45,ach,NAM,1,1949,28,0.163,338,1,1321,1,1,0,1271,0.921,0,SUCCESS
132.98,dlb_bank,NAM,1,2326,20,0.131,30,1,986,1,0,1,572,0.552,1,FAIL_NAME_MISMATCH
273.02,paypal,SA,1,1098,13,0.129,124,0,632,1,0,1,830,0.951,0,SUCCESS
138.98,dlb_bank,SEA,1,807,10,0.043,354,0,1272,0,0,1,1590,0.673,0,FAIL_MOP
127.25,payoneer,NAM,1,391,4,0.035,213,0,1388,1,0,1,282,0.928,0,SUCCESS
427.48,payoneer,SSA,0,2367,21,0.288,342,1,749,1,0,1,331,0.911,0,SUCCESS
412.56,paypal,LATAM,0,2066,30,0.038,315,1,353,1,0,1,1481,0.968,0,SUCCESS
536.37,dlb_bank,SSA,1,10,0,0.376,344,0,105,1,0,0,1941,0.87,0,FAIL_BANK_VALIDATION
151.69,thunes_wallet,SSA,0,1849,16,0.105,369,1,119,1,0,0,1893,0.648,1,SUCCESS
255.14,dlb_bank,EU,0,1933,22,0.157,313,1,326,1,0,1,1450,0.604,1,SUCCESS
456.0,dlb_bank,SA,1,1104,16,0.078,67,1,538,1,0,1,1108,0.956,0,SUCCESS
403.4,dlb_bank,LATAM,1,1663,17,0.104,238,1,1424,1,0,1,2107,0.965,0,SUCCESS
87.61,dlb_bank,SSA,0,1737,21,0.368,79,1,1074,1,0,1,137,0.979,0,SUCCESS
117.95,ach,SSA,0,749,12,0.06,343,0,907,1,0,1,1716,0.45,1,FAIL_NAME_MISMATCH
391.82,thunes_wallet,NAM,0,945,13,0.058,61,0,1302,1,0,1,1609,0.967,0,SUCCESS
678.85,dlb_bank,NAM,1,1128,14,0.086,284,0,1035,0,0,1,1210,0.894,0,FAIL_MOP
151.51,thunes_wallet,EU,0,1430,15,0.133,176,0,1036,1,0,1,1840,0.992,0,SUCCESS
176.59,dlb_bank,SEA,0,2381,23,0.107,202,1,508,1,0,1,247,0.773,0,SUCCESS
111.65,dlb_bank,SEA,1,886,13,0.127,354,0,326,1,0,1,1242,0.958,0,SUCCESS
355.51,payoneer,MENA,1,636,7,0.144,169,0,112,0,0,1,2056,0.826,0,FAIL_MOP
84.05,payoneer,NAM,1,1252,12,0.05,156,0,482,1,0,1,2002,0.621,1,FAIL_NAME_MISMATCH
176.42,payoneer,SA,1,1056,15,0.185,186,0,125,1,0,1,1417,0.673,0,SUCCESS
151.01,wire,SEA,0,1584,15,0.124,389,0,1191,0,0,1,936,0.934,0,FAIL_MOP
408.36,wire,SEA,0,313,3,0.026,103,0,476,0,0,1,217,0.821,0,SUCCESS
92.1,paypal,LATAM,1,2389,25,0.198,368,1,788,1,0,0,1668,0.986,0,SUCCESS
350.39,wise,SA,1,157,0,0.068,121,0,66,1,0,1,1232,0.87,0,FAIL_BANK_VALIDATION
189.56,payoneer,NAM,1,1326,10,0.167,291,0,1424,1,0,0,904,0.766,0,FAIL_BANK_VALIDATION
135.46,dlb_bank,NAM,0,2350,31,0.063,276,1,171,1,0,1,798,0.783,0,SUCCESS
182.29,ach,NAM,0,2175,28,0.117,102,1,1092,1,0,1,25,0.893,0,SUCCESS
227.1,dlb_bank,EU,1,1021,14,0.081,165,0,409,0,0,1,1151,0.94,0,FAIL_MOP
756.51,wire,EU,1,52,3,0.149,216,0,779,1,0,1,472,0.883,0,FAIL_AMOUNT_LIMIT
164.56,dlb_bank,NAM,0,1009,4,0.147,280,0,542,0,0,1,1625,0.937,0,FAIL_MOP
539.84,paypal,LATAM,0,2371,36,0.101,33,1,1370,0,0,1,1258,0.8,0,SUCCESS
210.49,thunes_wallet,NAM,0,238,2,0.091,113,0,1364,1,1,1,687,0.991,0,SUCCESS
128.37,paypal,SSA,0,945,9,0.018,296,0,719,1,1,1,1987,0.642,1,SUCCESS
262.17,thunes_wallet,NAM,1,505,6,0.241,0,0,670,0,0,1,2068,0.971,0,FAIL_MOP
131.71,paypal,SSA,1,1848,21,0.164,278,1,983,1,0,1,2073,0.497,1,FAIL_NAME_MISMATCH
1254.66,payoneer,NAM,1,704,6,0.276,61,0,282,0,0,1,950,0.603,1,FAIL_AMOUNT_LIMIT
37.05,payoneer,EU,0,1461,14,0.004,142,0,549,1,0,1,187,0.949,0,SUCCESS
183.79,wire,SA,1,2075,21,0.055,108,1,1129,1,0,1,48,0.776,0,SUCCESS
393.96,dlb_bank,LATAM,0,678,4,0.099,248,0,514,1,0,1,751,0.884,0,SUCCESS
121.65,ach,SEA,1,476,8,0.089,51,0,803,0,0,1,1157,0.874,0,FAIL_MOP
242.96,thunes_wallet,SSA,1,160,2,0.012,301,0,1317,1,0,1,737,0.998,0,SUCCESS
56.38,payoneer,SSA,1,1224,12,0.033,82,0,1337,1,0,1,865,0.367,1,FAIL_NAME_MISMATCH
91.96,payoneer,NAM,0,243,2,0.062,137,0,1388,1,0,1,1664,0.995,0,SUCCESS
337.2,wise,LATAM,1,1443,15,0.05,49,0,950,1,0,1,280,0.84,0,SUCCESS
338.11,thunes_wallet,NAM,1,1125,6,0.063,6,0,1349,0,0,1,682,0.936,0,FAIL_MOP
253.73,wire,SEA,0,2116,25,0.051,90,1,265,1,0,1,1737,0.894,0,SUCCESS
170.51,thunes_wallet,SA,1,719,6,0.132,118,0,1358,1,0,1,505,0.921,0,SUCCESS
129.03,ach,SEA,1,1520,18,0.127,193,1,1194,1,0,1,1284,0.824,0,SUCCESS
646.1,dlb_bank,NAM,0,780,4,0.203,252,0,1027,1,0,1,811,0.894,0,SUCCESS
97.97,thunes_wallet,EU,1,2365,23,0.205,74,1,507,1,0,1,951,0.837,0,SUCCESS
39.59,payoneer,EU,1,1872,15,0.075,182,0,310,1,0,1,2178,0.51,1,FAIL_NAME_MISMATCH
193.19,wise,NAM,1,950,13,0.106,208,0,914,1,0,1,660,0.862,0,SUCCESS
435.27,dlb_bank,SSA,0,2047,19,0.274,56,1,1271,1,0,1,1622,0.606,1,SUCCESS
241.54,paypal,SEA,1,673,6,0.055,140,0,1328,1,0,1,650,0.321,1,FAIL_NAME_MISMATCH
69.43,payoneer,EU,0,1223,14,0.081,46,0,1147,1,0,1,200,0.849,0,SUCCESS
637.18,wise,SEA,1,520,6,0.081,376,0,879,1,1,1,1466,0.941,0,FAIL_MOP
167.77,dlb_bank,SEA,1,1804,23,0.068,296,1,1477,1,0,1,1014,0.718,1,SUCCESS
124.75,paypal,NAM,0,1005,9,0.065,292,0,1435,1,1,1,1066,0.392,1,FAIL_NAME_MISMATCH
220.63,paypal,SEA,1,27,0,0.153,70,0,63,1,0,1,1184,0.928,0,FAIL_BANK_VALIDATION
282.94,paypal,SEA,0,174,3,0.024,42,0,404,1,0,1,1436,0.966,0,SUCCESS
464.48,paypal,NAM,1,810,6,0.132,84,0,574,1,0,1,432,0.536,0,FAIL_NAME_MISMATCH
165.12,dlb_bank,LATAM,0,713,6,0.035,46,0,483,1,0,1,167,0.914,0,SUCCESS
246.95,payoneer,SSA,0,345,4,0.04,116,0,274,1,0,1,946,0.993,0,SUCCESS
294.0,wise,SSA,1,657,5,0.056,386,0,751,1,0,1,2078,0.912,0,SUCCESS
879.18,wise,NAM,0,614,5,0.055,336,0,500,1,0,1,145,0.929,0,FAIL_AMOUNT_LIMIT
214.83,wise,SSA,0,625,10,0.039,336,0,540,0,0,1,1791,0.983,0,FAIL_MOP
407.06,payoneer,SSA,0,946,10,0.072,210,0,1214,1,0,1,2158,0.886,0,SUCCESS
133.75,wire,SEA,0,438,1,0.065,199,0,384,1,0,1,2093,0.887,0,SUCCESS
418.63,wise,SEA,1,967,8,0.007,382,0,846,1,0,1,422,0.783,0,SUCCESS
645.72,wise,EU,1,812,9,0.048,5,0,758,1,1,1,1451,0.931,0,FAIL_AMOUNT_LIMIT
480.6,payoneer,MENA,1,938,11,0.002,25,0,1397,1,0,1,1755,0.969,0,FAIL_BANK_VALIDATION
221.99,payoneer,SEA,0,1566,19,0.16,77,1,1198,1,0,1,2131,0.963,0,SUCCESS
328.19,wise,SEA,1,514,7,0.042,159,0,770,1,0,1,1809,0.829,0,SUCCESS
219.06,payoneer,NAM,1,571,1,0.071,26,0,682,1,0,1,1760,0.964,0,SUCCESS
153.98,payoneer,NAM,1,2368,33,0.089,15,1,192,1,0,1,1631,0.991,0,SUCCESS
449.11,payoneer,SSA,1,780,7,0.096,140,0,7,1,0,1,1430,0.998,0,SUCCESS
703.13,dlb_bank,NAM,0,1669,18,0.136,108,1,1362,1,0,1,788,0.937,0,SUCCESS
250.95,payoneer,LATAM,0,1147,21,0.034,138,1,466,1,0,1,436,0.831,0,SUCCESS
202.63,wise,SA,1,1750,15,0.024,21,0,486,1,0,1,95,0.925,0,SUCCESS
455.58,ach,EU,0,876,19,0.021,70,1,962,1,0,1,414,0.474,1,FAIL_NAME_MISMATCH
119.18,payoneer,EU,1,2186,30,0.087,38,1,1319,1,0,1,214,0.962,0,SUCCESS
398.25,paypal,LATAM,1,969,7,0.013,176,0,976,1,1,1,1255,0.914,0,SUCCESS
235.96,paypal,SSA,1,885,7,0.21,291,0,1375,0,0,1,984,0.579,1,FAIL_NAME_MISMATCH
314.91,dlb_bank,NAM,1,1147,12,0.096,372,0,1027,1,0,1,1934,0.757,1,FAIL_NAME_MISMATCH
1089.0,dlb_bank,EU,0,86,0,0.218,397,0,606,1,0,1,1694,0.691,1,FAIL_AMOUNT_LIMIT
913.74,payoneer,NAM,1,724,12,0.093,73,0,532,1,0,1,1227,0.667,0,FAIL_AMOUNT_LIMIT
160.08,dlb_bank,SSA,1,1035,11,0.034,85,0,1029,1,0,0,1628,0.957,0,FAIL_BANK_VALIDATION
155.71,wire,SEA,1,1616,13,0.084,325,0,904,0,0,1,2008,0.574,1,FAIL_NAME_MISMATCH
423.97,payoneer,EU,1,519,5,0.216,87,0,1324,0,1,1,1204,0.852,0,FAIL_MOP
155.83,wise,EU,0,7,0,0.114,392,0,937,1,1,1,2071,0.895,0,FAIL_MOP
360.43,payoneer,LATAM,1,1809,18,0.227,219,1,633,0,0,1,856,0.755,0,FAIL_MOP
288.07,dlb_bank,NAM,1,643,14,0.178,48,0,1068,1,0,0,1831,0.772,0,FAIL_BANK_VALIDATION
